head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L10.H1,100,-0.0059796142578125,0.76,0.0,-0.062578125,1,0.051050981134176256,0.0016228642307396512
L12.H2,100,-0.005948486328125,0.67,0.0,-0.107109375,1,0.0394863098859787,0.005029614889353979
L6.H10,100,-0.005653076171875,0.74,0.0,-0.042890625,1,0.030450627356767655,0.0008866955560370115
L8.H0,100,-0.005626220703125,0.85,0.0,-0.06046875,1,0.0386486791074276,0.0005789610981810256
L9.H7,100,-0.0055987548828125,0.66,0.0,-0.044453125,1,0.0414312669634819,0.0016758438017404841
L14.H14,100,-0.0055413818359375,0.61,0.03,0.0828125,1,-0.03783812493085861,0.02614425993990153
L3.H6,100,-0.00551513671875,0.81,0.0,-0.04140625,1,0.028299859166145323,0.0005878117030806607
L11.H14,100,-0.0054644775390625,0.72,0.0,-0.028984375,1,0.03756462246179581,0.0011647241400351048
L14.H15,100,-0.00544677734375,0.8,0.0,-0.0440625,1,0.03394612208008766,0.0007173219848209555
L15.H1,100,-0.0052276611328125,0.59,0.0,-0.05125,1,0.028754906132817268,0.0033424931708577786
L14.H7,100,-0.005089111328125,0.61,0.01,-0.0340625,1,0.032516647428274155,0.0012494440522277728
L9.H8,100,-0.005059814453125,0.8,0.0,-0.046171875,1,0.04072152316570282,0.0006978347304902855
L21.H5,100,-0.0050079345703125,0.7,0.0,-0.0415625,1,0.028556209355592728,0.0007487688479704957
L13.H3,100,-0.0049444580078125,0.63,0.0,0.04359375,1,0.005640076100826263,0.010302693536214064
L7.H5,100,-0.0049114990234375,0.69,0.0,-0.055,1,0.03934299096465111,0.0019966130441025597
L8.H8,100,-0.004908447265625,0.77,0.0,-0.03953125,1,0.026814018338918687,0.0006642982765333727
L15.H13,100,-0.00474853515625,0.62,0.0,-0.015078125,1,0.0266922015696764,0.0029524207320355345
L15.H3,100,-0.0047454833984375,0.55,0.02,-0.05015625,1,0.014008803069591522,0.010669403282008716
L7.H10,100,-0.0047174072265625,0.76,0.0,-0.03703125,1,0.029071926325559615,0.00042508493759669364
